sub05676:  0.804 0.802 0.794
sub08224:  0.788 0.788 0.788
sub08889:  0.810 0.804 0.817
sub09607:  0.793 0.795 0.792
sub14864:  0.787 0.813 0.811
sub18604:  0.790 0.787 0.796
sub22894:  0.785 0.784 0.765
sub27641:  0.808 0.789 0.807
sub33259:  0.790 0.804 0.796
sub34482:  0.810 0.821 0.799
sub36678:  0.797 0.792 0.807
sub38579:  0.804 0.816 0.808
sub39529:  0.790 0.799 0.808
sub45463:  0.794 0.782 0.803
sub47000:  0.781 0.787 0.799
sub49401:  0.791 0.794 0.815
sub52738:  0.800 0.789 0.786
sub55441:  0.784 0.804 0.792
sub58949:  0.803 0.805 0.801
sub60624:  0.782 0.780 0.800
sub76987:  0.809 0.805 0.804
sub84403:  0.793 0.792 0.807
sub86146:  0.799 0.799 0.808
sub90179:  0.785 0.793 0.799
sub94293:  0.805 0.820 0.816
