sub05676:  0.761 0.754 0.761
sub08224:  0.774 0.783 0.772
sub08889:  0.799 0.760 0.780
sub09607:  0.818 0.796 0.820
sub14864:  0.764 0.787 0.788
sub18604:  0.781 0.789 0.773
sub22894:  0.778 0.788 0.781
sub27641:  0.800 0.800 0.820
sub33259:  0.784 0.801 0.770
sub34482:  0.780 0.821 0.775
sub36678:  0.804 0.777 0.800
sub38579:  0.789 0.817 0.797
sub39529:  0.765 0.751 0.776
sub45463:  0.754 0.700 0.746
sub47000:  0.752 0.740 0.763
sub49401:  0.777 0.766 0.786
sub52738:  0.796 0.757 0.761
sub55441:  0.786 0.793 0.808
sub58949:  0.789 0.807 0.798
sub60624:  0.752 0.767 0.770
sub76987:  0.803 0.764 0.754
sub84403:  0.780 0.778 0.821
sub86146:  0.738 0.779 0.773
sub90179:  0.783 0.784 0.806
sub94293:  0.783 0.834 0.792
